id,target
3233,0
2432,1
245,1
465,1
2419,0
4655,0
3633,0
2893,0
1315,0
2722,0
2137,0
3875,1
3422,0
3032,0
4605,0
1814,0
1957,0
296,1
1307,0
455,1
3582,1
393,0
3372,1
3326,1
4585,0
3605,0
36,1
2228,1
1006,0
4452,0
2925,0
2549,1
2236,1
2766,0
1356,0
687,0
262,1
3318,1
2979,0
1942,0
4116,0
418,1
3177,0
1083,0
2920,0
3464,1
412,0
179,0
3286,0
3917,1
2649,0
3498,0
3949,0
4346,0
2753,0
3983,1
4437,1
285,1
1687,0
2039,1
3871,1
4518,0
72,1
4516,0
1326,0
2847,0
91,0
2536,0
2748,0
3986,1
1702,1
3503,1
3322,1
3548,1
2505,0
3122,0
58,0
2965,0
943,0
796,0
545,0
2295,0
4563,0
1370,1
3206,1
4072,0
917,1
3970,0
3160,0
4620,1
1918,0
890,1
2056,0
3971,0
1024,0
4565,0
3440,0
4141,0
4256,0
2856,0
378,0
3705,0
2702,0
1254,0
1528,1
3786,1
1458,0
87,0
482,0
2657,1
918,1
2775,0
1218,1
810,1
2321,0
3613,0
605,1
4539,0
4226,1
4607,0
2911,0
2486,1
846,0
3967,0
203,1
1940,0
4284,1
3045,0
3559,0
2881,1
2617,0
3912,1
256,0
1423,0
1229,1
2967,0
4457,0
619,0
4608,1
1171,1
1639,1
4697,0
4671,1
4512,1
3733,1
1338,1
1838,1
157,1
1768,1
616,0
1632,1
3783,0
2386,0
1344,1
1397,0
27,1
4691,0
301,0
3349,0
1750,0
2841,1
425,0
1465,0
2254,0
3869,0
4124,0
2971,1
102,0
2328,0
3145,0
3192,0
451,0
765,0
4379,0
3245,1
536,0
1439,1
2521,1
594,0
2441,1
3485,0
544,0
2904,0
3703,0
2656,0
1636,0
3123,0
3256,1
3523,0
1180,0
29,0
783,1
1812,0
714,1
3927,0
85,1
1996,0
4704,1
1886,1
2958,0
4714,1
4139,1
1521,0
2684,1
4008,1
376,0
2791,0
3723,0
4043,0
4660,0
2232,0
4688,0
1986,0
3084,1
2051,0
2030,0
61,1
730,0
220,0
90,0
1324,1
2499,0
50,0
4522,0
1039,0
3831,0
3696,1
3510,0
4702,1
207,0
4597,0
254,0
1219,0
4361,0
1191,0
1991,1
4162,0
863,0
2222,0
3678,1
1089,0
2126,0
3494,1
2706,0
327,0
2512,0
4122,1
1928,1
1920,1
2216,1
1673,0
63,1
2158,0
1505,1
111,1
3726,1
4473,0
514,0
2865,1
1735,1
4358,1
3389,0
4278,0
4021,0
480,1
